Institution Name,Year,Month,Items
Abraham Lincoln Presidential Library (archive.org),2009,11,2
Academy of Natural Sciences Library and Archives,2010,6,1
Academy of Natural Sciences Library and Archives,2010,11,1
Academy of Natural Sciences Library and Archives,2010,12,6
Academy of Natural Sciences Library and Archives,2012,3,2
Academy of Natural Sciences Library and Archives,2012,11,2
Academy of Natural Sciences Library and Archives,2013,6,2
Academy of Natural Sciences Library and Archives,2013,12,1
Academy of Natural Sciences Library and Archives,2014,3,2
Agriculture and Agri-Food Canada (archive.org),2013,12,1
Agriculture and Agri-Food Canada (archive.org),2012,11,1
Agriculture and Agri-Food Canada (archive.org),2013,1,74
Agriculture and Agri-Food Canada (archive.org),2013,2,6
Agriculture and Agri-Food Canada (archive.org),2012,10,17
Agriculture and Agri-Food Canada (archive.org),2012,3,202
Agriculture and Agri-Food Canada (archive.org),2011,12,18
Agriculture and Agri-Food Canada (archive.org),2012,1,1
Agriculture and Agri-Food Canada (archive.org),2012,2,13
Allen County Public Library Genealogy Center (archive.org),2013,3,15
Allen County Public Library Genealogy Center (archive.org),2010,8,1
Allen County Public Library Genealogy Center (archive.org),2010,6,3
Allen County Public Library Genealogy Center (archive.org),2010,5,2
Allen County Public Library Genealogy Center (archive.org),2010,7,2
Allen County Public Library Genealogy Center (archive.org),2010,1,1
Allen County Public Library Genealogy Center (archive.org),2010,3,2
Allen County Public Library Genealogy Center (archive.org),2010,4,3
Allen County Public Library Genealogy Center (archive.org),2009,11,26
Allen County Public Library Genealogy Center (archive.org),2009,12,2
Allen County Public Library Genealogy Center (archive.org),2014,5,67
Allen County Public Library Genealogy Center (archive.org),2014,6,42
American Entomological Society,2010,4,5
American Museum of Natural History Library,2010,4,1
American Museum of Natural History Library,2010,7,29
American Museum of Natural History Library,2010,5,31
American Museum of Natural History Library,2010,6,21
American Museum of Natural History Library,2010,8,4
American Museum of Natural History Library,2010,12,44
American Museum of Natural History Library,2011,1,2
American Museum of Natural History Library,2011,2,33
American Museum of Natural History Library,2011,3,151
American Museum of Natural History Library,2009,12,14
