Institution Name,Year,Month,Names
Abraham Lincoln Presidential Library (archive.org),2009,12,4
Abraham Lincoln Presidential Library (archive.org),2011,2,1
Abraham Lincoln Presidential Library (archive.org),2012,6,2
Abraham Lincoln Presidential Library (archive.org),2013,2,7
Academy of Natural Sciences Library and Archives,2013,2,2850
Academy of Natural Sciences Library and Archives,2013,4,2
Academy of Natural Sciences Library and Archives,2013,5,5
Academy of Natural Sciences Library and Archives,2013,6,4139
Academy of Natural Sciences Library and Archives,2013,9,1483
Academy of Natural Sciences Library and Archives,2013,12,1445
Academy of Natural Sciences Library and Archives,2012,3,892
Academy of Natural Sciences Library and Archives,2012,11,508
Academy of Natural Sciences Library and Archives,2010,12,3629
Academy of Natural Sciences Library and Archives,2010,11,126
Academy of Natural Sciences Library and Archives,2010,6,4
Academy of Natural Sciences Library and Archives,2014,3,144
Agriculture and Agri-Food Canada (archive.org),2014,3,836
Agriculture and Agri-Food Canada (archive.org),2014,1,1310
Agriculture and Agri-Food Canada (archive.org),2014,2,1079
Agriculture and Agri-Food Canada (archive.org),2012,11,409
Agriculture and Agri-Food Canada (archive.org),2012,12,6
Agriculture and Agri-Food Canada (archive.org),2012,9,1
Agriculture and Agri-Food Canada (archive.org),2012,10,145
Agriculture and Agri-Food Canada (archive.org),2012,8,11
Agriculture and Agri-Food Canada (archive.org),2012,3,62871
Agriculture and Agri-Food Canada (archive.org),2012,2,383
Agriculture and Agri-Food Canada (archive.org),2011,12,21441
Agriculture and Agri-Food Canada (archive.org),2012,1,5578
Agriculture and Agri-Food Canada (archive.org),2012,6,71
Agriculture and Agri-Food Canada (archive.org),2012,5,5
Agriculture and Agri-Food Canada (archive.org),2013,12,225
Agriculture and Agri-Food Canada (archive.org),2013,9,1
Agriculture and Agri-Food Canada (archive.org),2013,5,15
Agriculture and Agri-Food Canada (archive.org),2013,4,39
Agriculture and Agri-Food Canada (archive.org),2013,1,18183
Agriculture and Agri-Food Canada (archive.org),2013,3,21
Agriculture and Agri-Food Canada (archive.org),2013,2,18435
Allen County Public Library Genealogy Center (archive.org),2013,2,7746
Allen County Public Library Genealogy Center (archive.org),2013,3,11817
Allen County Public Library Genealogy Center (archive.org),2013,4,5
Allen County Public Library Genealogy Center (archive.org),2013,9,162
Allen County Public Library Genealogy Center (archive.org),2013,10,693
Allen County Public Library Genealogy Center (archive.org),2013,12,390
Allen County Public Library Genealogy Center (archive.org),2013,11,21
Allen County Public Library Genealogy Center (archive.org),2012,5,29
Allen County Public Library Genealogy Center (archive.org),2012,6,58
Allen County Public Library Genealogy Center (archive.org),2012,7,12
Allen County Public Library Genealogy Center (archive.org),2012,10,14
Allen County Public Library Genealogy Center (archive.org),2012,9,5
Allen County Public Library Genealogy Center (archive.org),2012,12,1
Allen County Public Library Genealogy Center (archive.org),2010,6,619
Allen County Public Library Genealogy Center (archive.org),2010,7,317
Allen County Public Library Genealogy Center (archive.org),2010,4,959
Allen County Public Library Genealogy Center (archive.org),2010,5,779
Allen County Public Library Genealogy Center (archive.org),2009,12,15373
Allen County Public Library Genealogy Center (archive.org),2010,1,115
Allen County Public Library Genealogy Center (archive.org),2010,3,173
Allen County Public Library Genealogy Center (archive.org),2009,11,6577
