Institution Name,Year,Month,Pages
Abraham Lincoln Presidential Library (archive.org),2009,11,80
Academy of Natural Sciences Library and Archives,2010,6,96
Academy of Natural Sciences Library and Archives,2010,11,98
Academy of Natural Sciences Library and Archives,2010,12,562
Academy of Natural Sciences Library and Archives,2012,3,270
Academy of Natural Sciences Library and Archives,2012,11,396
Academy of Natural Sciences Library and Archives,2013,6,1282
Academy of Natural Sciences Library and Archives,2013,12,84
Academy of Natural Sciences Library and Archives,2014,3,788
Agriculture and Agri-Food Canada (archive.org),2013,12,100
Agriculture and Agri-Food Canada (archive.org),2012,11,90
Agriculture and Agri-Food Canada (archive.org),2013,1,4770
Agriculture and Agri-Food Canada (archive.org),2013,2,506
Agriculture and Agri-Food Canada (archive.org),2012,10,318
Agriculture and Agri-Food Canada (archive.org),2012,3,10042
Agriculture and Agri-Food Canada (archive.org),2011,12,4076
Agriculture and Agri-Food Canada (archive.org),2012,1,684
Agriculture and Agri-Food Canada (archive.org),2012,2,514
Allen County Public Library Genealogy Center (archive.org),2013,3,5615
Allen County Public Library Genealogy Center (archive.org),2010,8,914
Allen County Public Library Genealogy Center (archive.org),2010,6,1874
Allen County Public Library Genealogy Center (archive.org),2010,5,742
Allen County Public Library Genealogy Center (archive.org),2010,7,1310
Allen County Public Library Genealogy Center (archive.org),2010,1,156
Allen County Public Library Genealogy Center (archive.org),2010,3,1752
Allen County Public Library Genealogy Center (archive.org),2010,4,1454
Allen County Public Library Genealogy Center (archive.org),2009,11,9968
Allen County Public Library Genealogy Center (archive.org),2009,12,2074
Allen County Public Library Genealogy Center (archive.org),2014,5,23796
Allen County Public Library Genealogy Center (archive.org),2014,6,37632
American Entomological Society,2010,4,2082
American Museum of Natural History Library,2010,4,370
American Museum of Natural History Library,2010,7,7222
American Museum of Natural History Library,2010,5,20988
American Museum of Natural History Library,2010,6,4662
American Museum of Natural History Library,2010,8,2182
American Museum of Natural History Library,2010,12,25028
American Museum of Natural History Library,2011,1,1788
American Museum of Natural History Library,2011,2,13352
American Museum of Natural History Library,2011,3,81078
American Museum of Natural History Library,2009,12,12820
American Museum of Natural History Library,2009,6,70489
American Museum of Natural History Library,2009,7,580
American Museum of Natural History Library,2009,8,1234
American Museum of Natural History Library,2009,9,200
American Museum of Natural History Library,2009,11,1928
American Museum of Natural History Library,2008,5,3108
American Museum of Natural History Library,2008,7,14566
American Museum of Natural History Library,2008,8,38462
American Museum of Natural History Library,2008,9,72762
American Museum of Natural History Library,2008,10,139907
American Museum of Natural History Library,2008,11,158625
American Museum of Natural History Library,2008,12,42426
American Museum of Natural History Library,2009,2,68454
American Museum of Natural History Library,2009,3,124182
American Museum of Natural History Library,2009,4,9550
American Museum of Natural History Library,2009,5,118790
American Museum of Natural History Library,2013,4,988
American Museum of Natural History Library,2013,6,1210
American Museum of Natural History Library,2013,5,21978
American Museum of Natural History Library,2013,9,34983
American Museum of Natural History Library,2013,10,1730
American Museum of Natural History Library,2012,10,756
American Museum of Natural History Library,2012,9,572
American Museum of Natural History Library,2012,7,908
American Museum of Natural History Library,2012,8,7668
American Museum of Natural History Library,2013,1,4868
American Museum of Natural History Library,2012,1,9610
American Museum of Natural History Library,2011,12,1474
American Museum of Natural History Library,2011,11,38
American Museum of Natural History Library,2012,3,124
American Museum of Natural History Library,2012,4,630
American Museum of Natural History Library,2012,5,3892
American Museum of Natural History Library,2011,5,60884
American Museum of Natural History Library,2011,4,39700
American Museum of Natural History Library,2011,9,6078
American Museum of Natural History Library,2011,10,2464
American Museum of Natural History Library,2014,5,20933
American Museum of Natural History Library,2014,3,762
American Museum of Natural History Library,2013,12,1372
American Museum of Natural History Library,2013,11,38963
American Museum of Natural History Library,2014,2,59489
American Museum of Natural History Library,2009,1,5216
Archives of Ontario (archive.org),2011,12,12
ASC - York University Libraries (archive.org),2009,11,27294
ASC - York University Libraries (archive.org),2009,12,1521
ASC - York University Libraries (archive.org),2014,4,10548
ASC - York University Libraries (archive.org),2014,5,3572
ASC - York University Libraries (archive.org),2014,6,3456
Australian Museum,2011,8,122
BHL-Europe,2012,1,301
BHL-Europe,2009,8,273
"Booth Library, Eastern Illinois University (archive.org)",2009,11,240
Boston College Libraries (archive.org),2009,11,42
Boston College Libraries (archive.org),2010,12,9476
Boston College Libraries (archive.org),2010,8,8962
Boston College Libraries (archive.org),2010,9,580
Boston College Libraries (archive.org),2010,6,1404
Boston College Libraries (archive.org),2010,5,4496
Boston College Libraries (archive.org),2011,12,116
Boston College Libraries (archive.org),2011,8,5668
Boston College Libraries (archive.org),2014,3,1620
Boston Public Library (archive.org),2014,5,812
Boston Public Library (archive.org),2014,1,624
Boston Public Library (archive.org),2013,11,1486
Boston Public Library (archive.org),2013,12,432
Boston Public Library (archive.org),2011,8,214
Boston Public Library (archive.org),2011,7,1698
Boston Public Library (archive.org),2011,9,1296
Boston Public Library (archive.org),2011,4,604
Boston Public Library (archive.org),2011,5,1220
Boston Public Library (archive.org),2011,12,116
Boston Public Library (archive.org),2011,11,372
Boston Public Library (archive.org),2012,1,2904
Boston Public Library (archive.org),2012,3,1070
Boston Public Library (archive.org),2013,2,4946
Boston Public Library (archive.org),2012,8,714
Boston Public Library (archive.org),2012,7,778
Boston Public Library (archive.org),2013,9,248
Boston Public Library (archive.org),2013,7,3075
Boston Public Library (archive.org),2013,6,108
Boston Public Library (archive.org),2010,5,3550
Boston Public Library (archive.org),2010,6,3936
Boston Public Library (archive.org),2010,7,6668
Boston Public Library (archive.org),2010,4,2338
Boston Public Library (archive.org),2010,3,3846
Boston Public Library (archive.org),2010,2,7048
Boston Public Library (archive.org),2010,9,1284
Boston Public Library (archive.org),2010,8,164
Boston Public Library (archive.org),2010,11,34
Boston Public Library (archive.org),2010,10,1794
Boston Public Library (archive.org),2010,12,782
Boston Public Library (archive.org),2011,1,1018
Boston Public Library (archive.org),2011,3,800
Boston Public Library (archive.org),2011,2,2740
Boston Public Library (archive.org),2009,11,175913
Boston Public Library (archive.org),2009,12,3108
Boston Public Library (archive.org),2008,2,404
Brandeis University Libraries (archive.org),2009,11,440
Brandeis University Libraries (archive.org),2010,1,6300
Brigham Young University-Idaho (archive.org),2012,3,780
Brigham Young University-Idaho (archive.org),2012,5,2136
Brigham Young University-Idaho (archive.org),2012,1,228
Brigham Young University-Idaho (archive.org),2012,2,834
Brock University (archive.org),2012,12,11948
Brown University Library (archive.org),2009,11,8644
Bureau of Land Management (archive.org),2012,12,2544
Bureau of Land Management (archive.org),2012,11,392
Bureau of Land Management (archive.org),2013,2,3796
Bureau of Land Management (archive.org),2013,1,1661
Bureau of Land Management (archive.org),2012,7,1762
Bureau of Land Management (archive.org),2012,8,190
Bureau of Land Management (archive.org),2012,9,191
Bureau of Land Management (archive.org),2012,10,372
Bureau of Land Management (archive.org),2013,5,178
Bureau of Land Management (archive.org),2013,4,720
Bureau of Land Management (archive.org),2013,3,1242
Bureau of Land Management (archive.org),2011,12,711
Bureau of Land Management (archive.org),2012,5,168
Bureau of Land Management (archive.org),2012,6,962
Bureau of Land Management (archive.org),2012,3,27828
Bureau of Land Management (archive.org),2012,4,12622
California Academy of Sciences Library,2012,4,1336
California Academy of Sciences Library,2012,3,92288
California Academy of Sciences Library,2012,6,9267
California Academy of Sciences Library,2012,5,34694
California Academy of Sciences Library,2011,12,33457
California Academy of Sciences Library,2012,2,500
California Academy of Sciences Library,2011,9,1796
California Academy of Sciences Library,2011,10,50723
California Academy of Sciences Library,2011,7,66695
California Academy of Sciences Library,2011,8,8317
California Academy of Sciences Library,2013,4,1541
California Academy of Sciences Library,2009,11,9753
California Academy of Sciences Library,2014,2,450
California Academy of Sciences Library,2014,3,302
California Department of Fish and Game (archive.org),2009,11,28571
California Department of Fish and Game (archive.org),2013,6,6
California State Library (archive.org),2012,2,4412
Cambridge University Library,2011,5,12
Cambridge University Library,2011,4,274
Cambridge University Library,2011,2,19218
Cambridge University Library,2011,3,28458
Cambridge University Library,2011,1,10
Canadiana.org (archive.org),2011,1,6580
Canadiana.org (archive.org),2010,12,23933
Canadiana.org (archive.org),2011,3,1471
Canadiana.org (archive.org),2011,2,19110
Canadiana.org (archive.org),2010,10,13173
Canadiana.org (archive.org),2010,11,10665
Canadiana.org (archive.org),2010,8,8857
Canadiana.org (archive.org),2010,9,21919
Canadiana.org (archive.org),2010,1,1793
Canadiana.org (archive.org),2010,2,24348
Canadiana.org (archive.org),2010,3,6603
Canadiana.org (archive.org),2010,4,16
Canadiana.org (archive.org),2010,7,10471
Canadiana.org (archive.org),2010,6,3800
Canadiana.org (archive.org),2009,11,18644
Canadiana.org (archive.org),2009,12,141564
Canadiana.org (archive.org),2011,4,6467
Canadiana.org (archive.org),2011,6,25632
Canadiana.org (archive.org),2011,5,4119
Canadiana.org (archive.org),2011,8,1773
Canadiana.org (archive.org),2011,7,551
Canadiana.org (archive.org),2011,10,2170
