Institution Name,Year,Month,Titles
Abraham Lincoln Presidential Library (archive.org),2009,11,2
Academy of Natural Sciences Library and Archives,2013,6,2
Academy of Natural Sciences Library and Archives,2014,3,2
Agriculture and Agri-Food Canada (archive.org),2013,12,1
Agriculture and Agri-Food Canada (archive.org),2012,10,17
Agriculture and Agri-Food Canada (archive.org),2012,11,1
Agriculture and Agri-Food Canada (archive.org),2013,1,74
Agriculture and Agri-Food Canada (archive.org),2013,2,6
Agriculture and Agri-Food Canada (archive.org),2011,12,18
Agriculture and Agri-Food Canada (archive.org),2012,2,13
Agriculture and Agri-Food Canada (archive.org),2012,3,202
Allen County Public Library Genealogy Center (archive.org),2011,5,2
Allen County Public Library Genealogy Center (archive.org),2013,3,1
Allen County Public Library Genealogy Center (archive.org),2009,11,15
Allen County Public Library Genealogy Center (archive.org),2009,12,1
Allen County Public Library Genealogy Center (archive.org),2010,3,2
Allen County Public Library Genealogy Center (archive.org),2010,4,3
Allen County Public Library Genealogy Center (archive.org),2010,7,2
Allen County Public Library Genealogy Center (archive.org),2014,5,3
Allen County Public Library Genealogy Center (archive.org),2014,6,1
American Museum of Natural History Library,2014,5,7
American Museum of Natural History Library,2013,12,1
American Museum of Natural History Library,2014,2,6
American Museum of Natural History Library,2010,6,1
American Museum of Natural History Library,2010,12,6
American Museum of Natural History Library,2011,2,8
American Museum of Natural History Library,2011,3,10
American Museum of Natural History Library,2011,4,16
American Museum of Natural History Library,2009,6,10
American Museum of Natural History Library,2009,8,5
American Museum of Natural History Library,2009,9,1
American Museum of Natural History Library,2008,5,9
American Museum of Natural History Library,2008,7,48
American Museum of Natural History Library,2008,8,77
American Museum of Natural History Library,2008,9,122
American Museum of Natural History Library,2008,10,108
American Museum of Natural History Library,2008,11,149
American Museum of Natural History Library,2008,12,17
American Museum of Natural History Library,2009,1,11
American Museum of Natural History Library,2009,2,35
American Museum of Natural History Library,2009,3,47
American Museum of Natural History Library,2009,4,6
American Museum of Natural History Library,2009,5,22
American Museum of Natural History Library,2013,1,3
American Museum of Natural History Library,2012,8,2
American Museum of Natural History Library,2013,9,84
American Museum of Natural History Library,2013,10,7
American Museum of Natural History Library,2013,11,11
American Museum of Natural History Library,2011,5,11
American Museum of Natural History Library,2011,6,1
American Museum of Natural History Library,2011,11,1
Archives of Ontario (archive.org),2011,12,1
ASC - York University Libraries (archive.org),2009,12,12
ASC - York University Libraries (archive.org),2009,11,9
ASC - York University Libraries (archive.org),2014,5,10
ASC - York University Libraries (archive.org),2014,4,18
ASC - York University Libraries (archive.org),2014,6,9
Australian Museum,2011,8,1
BHL-Europe,2012,1,1
BHL-Europe,2009,8,1
Biblioteca Digital del Real Jardin Botanico de Madrid,2014,4,104
Biblioteca Digital del Real Jardin Botanico de Madrid,2014,5,41
Biblioteca Digital del Real Jardin Botanico de Madrid,2014,1,6166
"Booth Library, Eastern Illinois University (archive.org)",2009,11,1
Boston College Libraries (archive.org),2009,11,1
Boston College Libraries (archive.org),2010,12,20
Boston College Libraries (archive.org),2010,6,2
Boston College Libraries (archive.org),2010,8,24
Boston College Libraries (archive.org),2010,5,7
Boston College Libraries (archive.org),2011,12,1
Boston College Libraries (archive.org),2011,8,10
Boston College Libraries (archive.org),2014,3,1
Boston Public Library (archive.org),2014,1,1
Boston Public Library (archive.org),2014,5,3
Boston Public Library (archive.org),2011,8,1
Boston Public Library (archive.org),2011,9,3
Boston Public Library (archive.org),2011,11,1
Boston Public Library (archive.org),2011,7,13
Boston Public Library (archive.org),2011,5,7
Boston Public Library (archive.org),2011,12,1
Boston Public Library (archive.org),2012,1,13
Boston Public Library (archive.org),2012,3,4
Boston Public Library (archive.org),2012,7,1
Boston Public Library (archive.org),2013,11,4
Boston Public Library (archive.org),2013,9,1
Boston Public Library (archive.org),2013,6,1
Boston Public Library (archive.org),2013,7,9
Boston Public Library (archive.org),2013,2,3
Boston Public Library (archive.org),2010,5,3
Boston Public Library (archive.org),2010,4,2
Boston Public Library (archive.org),2010,3,14
Boston Public Library (archive.org),2010,2,5
Boston Public Library (archive.org),2010,8,2
Boston Public Library (archive.org),2010,6,5
Boston Public Library (archive.org),2010,7,25
Boston Public Library (archive.org),2010,12,4
Boston Public Library (archive.org),2010,11,1
Boston Public Library (archive.org),2010,9,3
Boston Public Library (archive.org),2010,10,11
Boston Public Library (archive.org),2011,4,6
Boston Public Library (archive.org),2011,3,4
Boston Public Library (archive.org),2011,2,1
Boston Public Library (archive.org),2011,1,2
Boston Public Library (archive.org),2009,11,184
Boston Public Library (archive.org),2009,12,3
Boston Public Library (archive.org),2008,2,1
