COUNT(OBS_ID),"TO_CHAR(CREATION_DT,'YYYY/MM')"
268526,2007/04
688700,2007/05
405483,2007/06
380775,2007/07
346408,2007/08
450700,2007/09
564695,2007/10
561098,2007/11
527551,2007/12
647237,2008/01
630640,2008/02
965371,2008/03
886433,2008/04
1119323,2008/05
695361,2008/06
738292,2008/07
576109,2008/08
607930,2008/09
685826,2008/10
812853,2008/11
764716,2008/12
955319,2009/01
824075,2009/02
986586,2009/03
1481666,2009/04
1714100,2009/05
1051365,2009/06
897939,2009/07
1042282,2009/08
1043408,2009/09
1178503,2009/10
1117796,2009/11
1112314,2009/12
1396933,2010/01
1355687,2010/02
1560999,2010/03
1682033,2010/04
2108761,2010/05
1395970,2010/06
1204331,2010/07
1392821,2010/08
1408115,2010/09
1570335,2010/10
1447899,2010/11
1525198,2010/12
2021790,2011/01
1718617,2011/02
1863042,2011/03
2410379,2011/04
3032615,2011/05
1745307,2011/06
1505254,2011/07
1730538,2011/08
1716132,2011/09
1927821,2011/10
1979332,2011/11
2152936,2011/12
2832808,2012/01
2269200,2012/02
3019041,2012/03
3644256,2012/04
4234225,2012/05
2519376,2012/06
2182964,2012/07
2357528,2012/08
2607886,2012/09
2709973,2012/10
2843302,2012/11
2585708,2012/12
3709952,2013/01
4071745,2013/02
3834289,2013/03
4965009,2013/04
5664151,2013/05
3305811,2013/06
2952218,2013/07
3012553,2013/08
3133270,2013/09
2923886,2013/10
