month,year,size_gb,size_aggregate_gb
10,2008,60,60
11,2008,0,60
12,2008,12,72
1,2009,12,84
2,2009,10,94
3,2009,2,96
4,2009,16,112
5,2009,9,121
6,2009,7,128
7,2009,25,153
8,2009,1.6,154.6
9,2009,170,324.6
10,2009,1,325.6
11,2009,6,331.6
12,2009,2,333.6
1,2010,19,352.6
2,2010,5,357.6
3,2010,13,370.6
4,2010,3,373.6
5,2010,51,424.6
6,2010,3,427.6
7,2010,3,430.6
8,2010,11,441.6
9,2010,57,498.6
10,2010,14,512.6
11,2010,30,542.6
12,2010,10,552.6
1,2011,25,577.6
2,2011,17,594.6
3,2011,6,600.6
4,2011,7,607.6
5,2011,22,629.6
6,2011,10,639.6
7,2011,13,652.6
8,2011,20,672.6
9,2011,3,675.6
10,2011,41,716.6
11,2011,172,888.6
12,2011,91,979.6
1,2012,250,1229.6
2,2012,19,1248.6
3,2012,41,1289.6
4,2012,83,1372.6
5,2012,34,1406.6
6,2012,231,1637.6
7,2012,77,1714.6
8,2012,78,1792.6
9,2012,36,1828.6
10,2012,76,1904.6
11,2012,55,1959.6
12,2012,78,2037.6
1,2013,23,2060.6
2,2013,53,2113.6
3,2013,48,2161.6
4,2013,148,2309.6
5,2013,63,2372.6
6,2013,121,2493.6
7,2013,69,2562.6
8,2013,240,2802.6
9,2013,409,3211.6
10,2013,22,3233.6
