date,total_names
Jan-77,16000
Jan-78,18000
Jan-81,25000
Jan-84,45000
Oct-93,181389
Jun-96,208458
Jul-98,263256
Feb-99,265841
Jul-99,267487
Apr-00,279097
Oct-00,283396
May-01,295776
Dec-01,308294
Jun-02,321448
Dec-02,325947
Jun-03,331268
Dec-03,332356
Jun-04,343546
Dec-04,366065
Jun-05,388226
Dec-05,404479
May-06,417623
Nov-06,424130
Jun-07,434572
Dec-07,462183
Jun-08,477796
Dec-08,482560
Sep-09,487043
Jan-10,490032
Oct-10,491282
Dec-10,518498
Jun-11,532440
Dec-11,548014
Jun-12,606131
Dec-12,608189
Jun-13,623782
Aug-13,624282
